gene,betweenness,degree,closeness,constraint,coreness,eccentricity,eigen_centrality,hub score
5586,3782.788594,20,6.32E-09,0.055954519,16,9,0.007254361,0.001457878
5588,24690.59495,126,7.01E-09,0.010047963,31,8,0.033181608,0.013180791
5590,190647.0712,205,7.01E-09,0.008070249,34,8,0.060873162,0.028227816
5591,141486.3539,150,6.92E-09,0.009923337,39,9,0.124629522,0.069214563
5594,338807.8279,292,6.99E-09,0.005886316,34,8,0.054276958,0.026459077
5595,298884.0358,247,6.97E-09,0.006700393,33,8,0.046723008,0.031938637
5598,23732.66858,64,6.77E-09,0.017486318,29,9,0.011762586,0.006551737
5599,144006.1148,157,6.92E-09,0.009337995,31,9,0.029232672,0.015475355
5600,11245.84659,74,6.67E-09,0.016381137,31,8,0.015404441,0.006219951
5602,18468.1071,79,6.80E-09,0.014241403,29,9,0.01885469,0.005475215
5604,45527.62674,81,6.80E-09,0.017177713,31,9,0.02274803,0.012358846
5606,11769.64905,25,6.68E-09,0.05152002,21,9,0.007047592,0.005771986
5609,28912.62979,43,6.70E-09,0.031753595,21,9,0.008577703,0.003572001
5610,27659.05005,51,6.66E-09,0.023888723,29,9,0.024736379,0.008575794
5618,3440.431106,21,6.50E-09,0.06080319,15,9,0.005762581,0.008149639
5624,5399.481607,16,6.34E-09,0.094109336,9,8,0.000607075,0.000391569
5649,1325.678602,7,5.52E-09,0.215019114,6,9,0.000119194,1.54E-05
5663,103696.7167,104,6.74E-09,0.013766669,30,8,0.016393043,0.010301772
5682,161373.0565,141,6.91E-09,0.012131351,39,9,0.028507012,0.021189247
5684,198015.3048,152,6.90E-09,0.010784414,39,9,0.033448601,0.030316337
5686,4653.853406,56,6.89E-09,0.043692337,39,9,0.01482533,0.009722081
5688,16484.54263,73,6.88E-09,0.031624232,39,9,0.021065484,0.012886428
5693,11029.47302,63,6.88E-09,0.038309507,39,9,0.023159474,0.0121237
5696,4010.662706,20,6.88E-09,0.081981449,17,10,0.002013872,8.84E-05
5698,12508.52626,26,6.87E-09,0.057706156,18,10,0.003005911,0.000914815
5699,10405.64576,14,6.87E-09,0.078071683,14,9,0.001655527,0.000684149
5709,54852.49904,103,6.83E-09,0.021551251,39,9,0.080639398,0.041431207
5715,4926.465935,16,6.31E-09,0.067335015,15,9,0.002006267,0.000242144
5716,22351.06801,49,6.80E-09,0.042140031,37,9,0.011157636,0.003768924
5720,12214.74321,58,6.38E-09,0.032387454,37,9,0.012886076,0.005701963
5728,23332.88955,53,6.74E-09,0.020577223,25,9,0.010042159,0.004234358
5743,6947.173773,22,6.10E-09,0.077556338,14,9,0.001238683,0.001706241
5747,119863.7905,164,6.74E-09,0.008618305,31,8,0.033049321,0.016987699
5770,26865.64808,73,6.67E-09,0.016726767,31,8,0.017684855,0.006291377
5777,49799.9067,106,6.50E-09,0.017932647,29,9,0.013396396,0.007149999
5792,4864.137641,28,6.38E-09,0.045829654,19,9,0.005593007,0.000997616
5810,1149.883191,19,6.67E-09,0.085248232,15,9,0.001700418,0.001331105
5859,14371.2504,47,6.39E-09,0.025534733,23,9,0.016545219,0.009234211
5869,153.6428501,9,6.07E-09,0.118088872,8,9,0.000599701,0.000905005
5875,482.2786135,2,6.14E-09,0.5,2,10,5.45E-05,8.16E-05
5879,263861.42,200,6.65E-09,0.00734899,31,9,0.044021195,0.038568045
5883,5657.579298,32,6.67E-09,0.047418418,20,9,0.0118874,0.001997175
5887,4129.268947,29,6.42E-09,0.038836513,20,9,0.016420553,0.010745368
5888,50627.85108,56,6.64E-09,0.025748599,25,9,0.009875884,0.009388399
5889,2340.081691,8,6.36E-09,0.177234572,7,10,0.005305322,2.27E-05
5894,166231.4598,140,6.75E-09,0.009218554,32,9,0.045282219,0.015673319
5906,33221.8888,53,6.38E-09,0.021675146,22,9,0.004812766,0.002504097
5914,57779.04278,88,6.59E-09,0.015647347,31,9,0.017544102,0.006022799
5921,29207.10157,88,6.35E-09,0.015467849,29,9,0.01647453,0.004324784
5925,262318.0521,178,6.72E-09,0.008022632,34,9,0.044311406,0.017361035
